usn,name,attendance,internal_marks,assignment_score,quiz_score,lab_marks,semester_marks,study_hours
1RV21CS307,Arvind Naidu,99.76,47.28,46.46,29.06,46.23,183.34,1.47
1RV21CS308,Suraj Agarwal,49.53,39.94,39.47,21.55,38.77,143.91,4.78
1RV21CS309,Arvind Tiwari,50.02,22.86,26.4,22.34,37.81,108.61,3.23
1RV21CS310,Aarav Shekhar,63.9,23.62,45.81,40.82,34.33,131.82,1.45
1RV21CS311,Krishna Iyer,62.23,46.43,24.11,43.2,42.59,148.68,5.96
1RV21CS312,Karthik Gupta,74.18,20.25,39.5,33.2,41.67,134.04,1.76
1RV21CS313,Ajay Saxena,82.76,45.8,22.6,23.01,42.57,145.8,2.92
1RV21CS314,Arvind Singh,88.51,27.43,39.34,27.45,38.03,139.96,2.42
1RV21CS315,Hemant Verma,91.63,39.75,29.05,35.53,35.29,150.85,2.48
1RV21CS316,Vihaan Kapoor,72.22,23.38,34.99,37.82,35.85,138.78,5.93
1RV21CS317,Yash Joshi,66.28,45.17,32.63,36.39,25.18,141.12,5.94
1RV21CS318,Arjun Verma,77.3,20.41,26.47,47.68,48.46,136.08,2.43
1RV21CS319,Kiran Bhattacharya,87.19,32.71,32.07,39.22,36.13,135.37,1.42
1RV21CS320,Sai Bhattacharya,95.65,49.23,24.66,29.8,37.59,157.89,4.25
1RV21CS321,Yogesh Gupta,62.06,33.12,48.6,27.16,27.33,143.14,1.58
1RV21CS322,Vikram Kamble,48.03,39.98,39.74,25.27,20.38,118.15,1.06
1RV21CS323,Mahesh Kumar,73.77,43.49,41.62,25.01,23.81,144.8,2.34
1RV21CS324,Rohan Verma,63.43,32.88,35.72,27.89,49.25,147.12,3.48
1RV21CS325,Naresh Das,48.05,45.78,25.01,24.72,43.2,148.62,4.37
1RV21CS326,Rohan Malhotra,85.74,20.08,45.76,20.37,21.38,108.63,5.6
1RV21CS327,Nikhil Reddy,75.41,47.42,42.22,32.58,29.65,153.58,4.6
1RV21CS328,Praveen Gupta,76.43,23.58,40.2,21.58,26.7,115.19,1.23
1RV21CS329,Akash Gupta,93.23,45.98,43.21,29.32,22.59,148.38,2.84
1RV21CS330,Sanjay Sawant,88.15,42.19,27.28,31.05,49.16,166.02,4.88
1RV21CS331,Raghav Chavan,86.83,27.35,20.19,32.3,26.99,110.17,5.2
1RV21CS332,Aarav Yadav,45.08,39.72,45.47,41.82,23.12,143.73,2.19
1RV21CS333,Mahesh Patel,98.49,24.27,28.39,21.32,26.94,117.61,3.07
1RV21CS334,Suraj Menon,98.6,22.55,22.87,24.01,44.6,113.52,3.84
1RV21CS335,Arvind Bhat,98.03,27.1,27.83,29.45,44.02,138.64,4.68
1RV21CS336,Yash Pillai,59.96,22.24,26.08,43.4,37.54,116.82,1.82
1RV21CS337,Gokul Singh,67.36,36.08,48.94,26.23,29.25,135.91,1.6
1RV21CS338,Vishal Gowda,61.73,41.14,38.1,26.45,45.7,144.81,4.56
1RV21CS339,Varun Ghosh,73.24,40.32,27.81,49.72,20.93,137.01,3.26
1RV21CS340,Shreyas Deshmukh,58.74,33.86,44.12,24.19,20.36,129.54,5.91
1RV21CS341,Rahul Naidu,90.3,31.17,38.91,39.34,37.47,143.03,5.06
1RV21CS342,Vivaan Gupta,55.88,39.38,44.28,22.76,45.42,156.84,1.61
1RV21CS343,Gokul Patel,54.24,37.22,44.65,31.85,20.88,135.98,1.86
1RV21CS344,Ankit Rao,60.12,33.38,24.46,38.42,38.51,136.15,3.49
1RV21CS345,Ramesh Varma,48.35,28.39,24.12,25.98,46.54,123.62,4.15
1RV21CS346,Prakash Verma,99.42,43.46,30.77,36.34,34.54,161.43,3.51
1RV21CS347,Abhishek Pandey,54.89,29.57,26.57,46.87,43.36,130.72,5.96
1RV21CS348,Pavan Kumar,87.18,49.99,49.22,23.0,39.71,163.97,5.08
1RV21CS349,Shreyas Patel,87.02,48.43,37.27,49.48,31.65,177.16,5.96
1RV21CS350,Nikhil Rao,58.01,29.54,42.14,30.76,37.75,140.34,2.76
1RV21CS351,Siddharth Sawant,52.82,48.45,45.1,44.31,49.11,180.84,1.88
1RV21CS352,Aditya Nair,48.09,38.05,20.6,34.34,29.95,125.03,5.03
1RV21CS353,Tejas Sinha,54.76,44.07,46.05,21.79,24.43,142.01,1.71
1RV21CS354,Rohan Thakur,92.34,48.82,31.21,48.26,31.87,156.51,2.51
1RV21CS355,Rahul Hegde,85.28,33.11,39.18,34.62,29.52,143.08,3.81
1RV21CS356,Vikram Kumar,57.28,37.67,25.26,29.2,40.65,126.44,4.64
1RV21CS357,Hemant Sawant,66.54,49.83,48.96,20.97,38.07,169.63,5.84
1RV21CS358,Deepak Tripathi,76.11,48.1,24.22,42.36,27.14,156.04,1.84
1RV21CS359,Sai Sinha,81.85,41.88,30.07,20.34,26.29,132.44,2.75
1RV21CS360,Krishna Paul,45.07,31.58,41.98,49.07,46.54,156.59,2.89
1RV21CS361,Prakash Bose,50.58,34.38,45.92,39.53,40.61,145.58,1.37
1RV21CS362,Aditya Dubey,46.1,27.83,23.14,30.25,46.64,117.5,1.38
1RV21CS363,Sai Yadav,77.67,38.41,34.48,20.93,48.27,140.6,5.45
1RV21CS364,Vishal Patel,50.57,26.17,25.7,40.92,41.66,132.82,2.33
1RV21CS365,Sanjay Mishra,58.07,21.49,37.15,45.2,24.61,118.13,3.14
1RV21CS366,Sanjay Bhat,79.38,34.41,22.91,26.21,39.15,138.62,3.37
1RV21CS367,Rohan Mishra,88.17,34.13,46.85,27.95,39.26,148.72,2.86
1RV21CS368,Abhishek Das,55.26,21.34,33.19,27.9,45.11,124.63,1.76
1RV21CS369,Hemant Bhat,50.32,40.04,44.25,32.42,42.69,149.18,1.3
1RV21CS370,Abhishek Thakur,68.02,36.07,46.01,34.24,46.45,158.99,1.39
1RV21CS371,Kiran Reddy,72.62,47.01,44.01,40.33,38.61,161.53,4.79
1RV21CS372,Nikhil Hegde,98.47,44.25,23.79,32.7,49.65,158.11,5.99
1RV21CS373,Vivek Shetty,90.88,27.74,47.32,47.43,22.01,140.09,2.99
1RV21CS374,Yash Pandey,73.58,47.51,20.37,41.01,37.63,156.23,1.56
1RV21CS375,Karthik Shetty,76.16,37.48,48.94,23.01,23.17,141.91,4.93
1RV21CS376,Prakash Kumar,93.28,27.92,39.64,37.16,34.19,134.1,3.01
1RV21CS377,Vikram Kamble,82.44,32.05,31.87,46.37,40.72,140.54,3.38
1RV21CS378,Praveen Das,46.11,44.52,29.09,28.41,34.75,141.0,1.49
1RV21CS379,Deepak Joshi,61.53,42.31,43.22,29.63,41.86,158.17,1.45
1RV21CS380,Dinesh Choudhary,95.24,32.22,34.53,35.5,31.22,129.41,4.96
1RV21CS381,Arjun Mishra,84.03,32.1,43.42,35.73,37.06,141.9,5.38
1RV21CS382,Amit Patel,58.72,33.69,47.54,41.14,28.22,150.87,3.53
1RV21CS383,Vivek Kulkarni,82.46,27.26,34.66,33.38,48.82,143.73,3.76
1RV21CS384,Varun Hegde,91.07,27.76,44.93,22.71,20.82,113.1,5.27
1RV21CS385,Ankit Malhotra,80.61,40.33,28.07,32.29,20.6,133.72,4.84
1RV21CS386,Aarav Varma,95.13,39.42,38.03,20.25,27.57,141.84,2.53
1RV21CS387,Kiran Tiwari,60.15,46.86,45.55,33.77,26.55,148.28,3.6
1RV21CS388,Vikram Ghosh,77.15,20.22,49.98,48.99,45.18,155.86,3.97
1RV21CS389,Sanjay Mishra,82.64,34.45,30.09,28.29,29.75,124.06,4.28
1RV21CS390,Yogesh Mishra,55.36,35.52,27.21,21.7,45.72,138.0,3.02
1RV21CS391,Yash Gowda,52.7,20.76,34.92,28.87,47.21,124.18,4.68
1RV21CS392,Suresh Sinha,99.71,44.48,30.3,41.4,40.59,165.84,3.38
1RV21CS393,Chirag Kumar,72.9,45.36,45.22,46.29,25.43,152.43,1.64
1RV21CS394,Manoj Paul,89.46,42.89,25.49,40.39,30.07,136.87,2.78
1RV21CS395,Shreyas Mishra,68.13,46.61,31.15,37.57,33.91,143.65,1.27
1RV21CS396,Vivek Patil,76.92,38.62,34.17,25.84,23.59,132.0,3.65
1RV21CS397,Ajay Patel,92.9,24.52,49.77,30.28,49.62,161.53,5.93
1RV21CS398,Karthik Singh,92.43,25.41,22.42,29.98,49.6,128.81,1.29
1RV21CS399,Dinesh Pandey,56.52,43.21,37.29,24.75,43.56,155.11,1.65
1RV21CS400,Arvind Tripathi,68.62,32.87,34.32,20.14,36.01,131.74,5.75
1RV21CS401,Yash Thakur,55.48,40.3,38.8,27.46,40.81,143.33,1.64
1RV21CS402,Abhishek Bhattacharya,77.38,25.01,44.72,28.95,28.72,131.93,3.98
1RV21CS403,Tejas Mukherjee,93.84,49.86,30.28,47.04,30.78,157.22,5.74
1RV21CS404,Akash Verma,57.56,41.82,23.94,42.02,37.69,137.56,2.83
1RV21CS405,Yogesh Reddy,65.64,39.21,43.14,38.69,37.82,146.77,1.54
1RV21CS406,Vivaan Patel,82.94,32.5,31.41,36.42,34.23,130.08,4.48
1RV21CS407,Vivek Sharma,61.56,39.85,39.87,28.1,38.17,138.79,5.15
1RV21CS408,Krishna Bhattacharya,84.53,23.53,23.42,23.19,25.96,97.47,2.31
1RV21CS409,Pavan Naidu,64.69,32.29,24.81,36.44,47.31,143.39,3.4
1RV21CS410,Harsha Sharma,45.7,22.67,23.31,37.22,34.82,121.37,4.9
1RV21CS411,Arjun Paul,84.8,47.14,39.33,33.7,49.32,168.25,1.25
1RV21CS412,Nikhil Reddy,91.87,30.81,40.3,32.78,23.48,138.69,5.45
1RV21CS413,Aarav Joshi,81.48,25.12,30.73,33.13,38.65,136.57,1.46
1RV21CS414,Tejas Rao,51.26,32.01,33.7,45.07,40.7,143.37,3.11
1RV21CS415,Vishal Kulkarni,52.29,41.79,49.45,45.33,23.11,160.92,3.41
1RV21CS416,Siddharth Gowda,69.1,38.34,43.37,38.34,45.88,170.25,4.64
1RV21CS417,Rahul Varma,95.62,23.39,32.34,21.38,27.85,109.38,4.52
1RV21CS418,Dev Thakur,87.21,37.3,36.95,49.34,40.1,159.16,3.62
1RV21CS419,Hemant Saxena,50.24,39.85,27.46,30.37,40.29,135.05,5.2
1RV21CS420,Ramesh Saxena,48.0,39.3,24.71,45.47,45.56,156.75,1.37
1RV21CS421,Mahesh Singh,58.25,49.1,21.51,26.68,39.3,139.89,2.17
1RV21CS422,Gokul Pillai,89.07,33.44,45.7,33.41,23.56,139.04,4.27
1RV21CS423,Krishna Ghosh,67.68,36.71,20.01,22.73,38.13,126.21,2.52
1RV21CS424,Naresh Deshmukh,56.38,40.14,48.51,30.9,21.63,133.81,3.27
1RV21CS425,Ramesh Saxena,78.0,41.5,30.9,33.58,22.92,137.43,1.01
1RV21CS426,Varun Tripathi,98.04,28.76,35.66,41.06,21.37,123.91,1.7
1RV21CS427,Kiran Paul,67.51,27.63,25.88,23.62,45.57,119.22,5.12
1RV21CS428,Amit Sinha,63.59,42.71,21.4,39.0,40.16,137.0,5.46
1RV21CS429,Gokul Bhat,77.41,35.13,48.92,20.13,42.09,149.81,3.16
1RV21CS430,Suresh Varma,95.84,43.43,47.31,40.75,25.21,166.65,1.52
1RV21CS431,Chirag Kamble,78.34,29.66,46.44,32.56,38.27,149.5,2.24
1RV21CS432,Akash Yadav,98.38,33.59,24.0,32.38,41.0,143.72,2.49
1RV21CS433,Hemant Deshmukh,92.34,41.36,48.07,38.98,26.03,159.75,2.45
1RV21CS434,Varun Gowda,52.3,41.31,49.26,25.33,36.27,152.55,4.55
1RV21CS435,Tanmay Kumar,75.93,37.48,48.28,41.3,40.23,171.78,3.67
1RV21CS436,Arvind Sharma,73.75,20.76,24.36,40.11,26.0,115.63,1.8
1RV21CS437,Sanjay Gowda,58.78,45.18,40.72,28.85,42.61,147.74,5.07
1RV21CS438,Krishna Saxena,92.74,42.18,45.95,42.27,36.84,163.42,4.92
1RV21CS439,Hemant Dubey,83.11,21.41,31.45,32.5,43.64,133.2,5.83
1RV21CS440,Vihaan Sharma,85.9,26.09,46.07,45.81,33.29,141.88,4.17
1RV21CS441,Kiran Tiwari,65.23,37.65,42.15,25.89,41.75,141.51,3.24
1RV21CS442,Dev Gupta,55.28,25.21,35.42,31.32,32.86,122.27,1.65
1RV21CS443,Suresh Agarwal,45.31,33.99,48.12,21.2,47.86,148.2,4.87
1RV21CS444,Vivek Saxena,91.37,29.03,43.7,36.5,22.19,137.74,3.63
1RV21CS445,Nikhil Thakur,48.75,35.15,32.48,36.11,22.76,118.1,2.07
1RV21CS446,Tejas Yadav,64.84,26.55,42.58,35.91,49.9,155.41,5.91
1RV21CS447,Aarav Kulkarni,81.79,33.37,47.13,38.41,38.63,164.94,4.41
1RV21CS448,Yash Bose,95.38,48.35,31.58,36.21,28.48,161.57,5.11
1RV21CS449,Suraj Bhattacharya,89.15,33.37,21.32,46.95,25.78,131.27,5.74
1RV21CS450,Vishal Chavan,74.33,38.81,26.32,38.89,26.4,137.19,5.18
1RV21CS451,Ankit Chavan,90.58,46.36,42.24,33.06,44.5,162.17,4.43
1RV21CS452,Vivaan Menon,84.43,21.14,22.2,25.34,27.56,93.96,5.11
1RV21CS453,Manoj Banerjee,66.34,38.91,32.99,20.51,40.2,137.59,4.21
1RV21CS454,Vikram Gupta,86.58,37.57,41.03,22.18,47.84,145.93,4.93
1RV21CS455,Shivam Kamble,49.76,42.96,33.13,31.85,39.82,145.62,3.67
1RV21CS456,Rahul Ghosh,88.82,45.48,28.85,39.02,28.94,156.52,5.83
1RV21CS457,Raghav Tiwari,65.52,48.48,36.61,36.65,23.7,137.65,3.98
1RV21CS458,Prakash Deshmukh,97.08,29.14,42.45,47.11,30.32,146.86,4.23
1RV21CS459,Naresh Shetty,53.85,26.62,45.04,25.83,25.44,125.72,5.26
1RV21CS460,Tanmay Deshmukh,70.37,36.49,28.72,22.02,22.95,121.42,3.44
1RV21CS461,Tejas Kumar,52.05,39.66,23.0,38.59,47.0,142.07,3.25
1RV21CS462,Vikram Bhat,61.81,37.53,36.97,30.93,29.49,133.73,1.02
1RV21CS463,Harsha Malhotra,84.17,39.23,28.3,30.78,40.39,141.08,3.4
1RV21CS464,Dinesh Kumar,87.61,34.61,23.26,39.37,22.46,121.05,5.13
1RV21CS465,Prakash Naidu,59.48,46.59,22.29,22.26,20.56,119.87,1.16
1RV21CS466,Suresh Patil,67.28,37.7,47.19,36.55,36.3,164.68,3.36
1RV21CS467,Karthik Das,66.59,46.74,37.69,45.71,24.02,153.2,1.45
1RV21CS468,Suraj Bhattacharya,45.58,27.17,48.92,49.46,40.52,157.09,1.7
1RV21CS469,Vishal Rao,76.15,36.97,46.17,24.39,41.96,160.15,1.2
1RV21CS470,Tanmay Chatterjee,57.75,27.93,27.02,40.06,35.54,132.54,2.94
1RV21CS471,Gokul Reddy,47.19,39.46,23.1,49.05,39.01,140.18,4.71
1RV21CS472,Suresh Chavan,76.36,31.3,31.36,37.63,46.95,138.07,2.26
1RV21CS473,Deepak Thakur,67.32,44.52,30.35,43.78,46.62,153.9,5.41
1RV21CS474,Dinesh Hegde,57.65,35.44,28.42,24.51,24.72,118.24,5.08
1RV21CS475,Chirag Malhotra,67.8,29.91,23.4,40.26,34.37,129.1,4.24
1RV21CS476,Ajay Verma,58.4,23.84,37.77,24.04,35.38,126.99,1.73
1RV21CS477,Vishal Agarwal,95.73,35.5,32.16,49.08,39.13,164.62,4.64
1RV21CS478,Sanjay Nair,56.91,38.2,34.14,34.45,26.58,130.79,1.71
1RV21CS479,Suresh Rao,79.28,35.32,25.03,40.57,47.67,151.5,1.34
1RV21CS480,Abhishek Bose,52.27,20.5,35.68,47.28,40.53,139.7,4.03
1RV21CS481,Nikhil Varma,94.59,37.99,46.33,35.94,42.57,156.9,4.3
1RV21CS482,Tarun Chavan,90.51,46.91,43.25,39.48,35.66,166.13,1.22
1RV21CS483,Pavan Mukherjee,57.62,44.07,43.69,31.44,37.67,160.1,4.81
1RV21CS484,Hemant Sawant,50.37,24.02,34.31,26.98,45.77,122.09,5.38
1RV21CS485,Ajay Agarwal,55.4,41.27,43.68,37.34,23.53,133.01,4.27
1RV21CS486,Hemant Singh,67.49,23.2,32.78,37.56,27.84,119.63,3.82
1RV21CS487,Vikram Pandey,99.55,31.92,26.11,36.56,36.73,131.33,3.8
1RV21CS488,Lokesh Agarwal,99.37,37.33,43.23,31.94,24.14,150.61,1.6
1RV21CS489,Deepak Pillai,88.07,48.48,23.01,35.25,43.58,164.11,4.07
1RV21CS490,Dev Sinha,47.86,31.67,39.08,44.13,44.7,149.39,4.0
1RV21CS491,Sai Gupta,59.47,31.13,38.27,41.73,47.92,150.22,4.28
1RV21CS492,Sanjay Sinha,97.99,21.72,43.21,25.26,34.83,119.47,5.25
1RV21CS493,Pavan Dubey,55.71,43.52,35.32,40.95,38.46,158.38,2.8
1RV21CS494,Yogesh Sharma,98.66,22.61,28.28,31.98,40.09,126.06,2.0
1RV21CS495,Aarav Sinha,48.77,22.7,28.53,44.89,47.45,130.91,5.82
1RV21CS496,Praveen Malhotra,78.35,25.84,47.89,37.25,27.83,134.25,1.53
1RV21CS497,Arjun Bhattacharya,61.18,48.41,44.09,48.7,46.28,187.6,3.87
1RV21CS498,Hemant Pillai,98.13,36.9,43.1,42.72,48.84,171.42,3.3
1RV21CS499,Suresh Verma,71.51,27.73,31.48,43.66,26.61,131.3,5.0
1RV21CS500,Ajay Kumar,73.41,20.29,44.97,27.45,22.79,118.21,5.11
1RV21CS501,Pruthvi raj D S,90.0,30.0,35.0,30.0,35.0,140.0,3.0
1RV21CS001,Vivek Kulkarni,46.38,28.25,26.7,42.09,40.3,138.11,1.43
1RV21CS002,Arvind Reddy,46.64,26.56,35.16,20.8,25.97,110.26,3.72
1RV21CS003,Deepak Pillai,77.41,44.28,20.19,44.17,40.94,149.34,1.78
1RV21CS004,Tanmay Yadav,50.62,31.4,30.77,30.32,27.94,109.66,3.3
1RV21CS005,Rohan Bose,49.33,28.8,38.86,46.56,30.85,129.72,1.35
1RV21CS006,Chirag Malhotra,87.52,49.56,45.66,45.99,31.4,173.03,5.17
1RV21CS007,Vishal Das,64.54,40.11,41.05,40.51,22.14,144.86,3.67
1RV21CS008,Harsha Hegde,70.42,28.1,47.76,40.64,26.59,134.88,4.84
1RV21CS009,Vihaan Malhotra,90.2,44.15,32.03,21.99,47.39,156.03,4.59
1RV21CS010,Ankit Tiwari,72.46,46.54,39.29,24.29,24.19,145.45,3.69
1RV21CS011,Shreyas Patil,68.56,37.51,30.86,49.92,24.15,139.96,4.78
1RV21CS012,Rohan Shetty,79.51,43.76,32.66,21.91,31.45,148.11,3.65
1RV21CS013,Ramesh Sharma,82.42,23.44,46.54,42.53,43.06,147.17,2.47
1RV21CS014,Vishal Menon,45.18,41.66,41.59,49.16,42.86,165.44,1.53
1RV21CS015,Vivek Mishra,91.29,35.23,25.97,31.22,24.85,134.6,5.61
1RV21CS016,Aarav Kamble,62.83,20.58,47.87,46.36,44.95,144.62,1.29
1RV21CS017,Siddharth Nair,49.71,34.58,22.08,42.82,42.98,130.33,3.38
1RV21CS018,Ramesh Hegde,59.58,46.17,32.69,26.35,36.18,149.08,2.01
1RV21CS019,Shivam Ghosh,99.73,39.5,33.14,35.53,23.63,134.49,2.69
1RV21CS020,Suresh Deshmukh,57.66,26.61,22.13,38.93,26.87,120.71,5.3
1RV21CS021,Arjun Bhattacharya,58.09,40.07,26.43,23.97,48.07,142.31,3.36
1RV21CS022,Lokesh Banerjee,55.47,22.91,32.93,32.71,34.01,123.02,4.37
1RV21CS023,Yogesh Iyer,48.33,41.85,44.02,23.28,25.75,135.3,1.7
1RV21CS024,Nikhil Pandey,70.44,46.23,22.26,44.24,45.68,151.41,4.26
1RV21CS025,Prakash Sharma,98.29,47.79,45.46,24.99,34.57,156.25,3.01
1RV21CS026,Vihaan Hegde,65.84,49.56,27.96,43.52,33.65,154.22,5.79
1RV21CS027,Ramesh Bhat,84.51,24.64,28.9,49.06,37.38,138.42,4.74
1RV21CS028,Vihaan Patel,77.13,35.09,45.58,24.72,48.82,146.84,1.93
1RV21CS029,Tarun Gupta,82.14,27.06,23.6,46.71,27.39,127.02,4.1
1RV21CS030,Ajay Bhat,77.1,35.68,48.04,26.13,41.49,147.07,2.98
1RV21CS031,Chirag Tiwari,61.5,29.49,42.56,22.18,33.75,137.61,5.98
1RV21CS032,Arjun Chavan,56.72,27.96,48.0,46.43,46.38,154.93,1.79
1RV21CS033,Prakash Sinha,61.64,49.52,44.21,35.87,40.04,169.36,5.66
1RV21CS034,Krishna Joshi,59.55,46.69,42.27,24.66,28.45,138.83,2.71
1RV21CS035,Dev Tripathi,91.91,35.16,27.53,47.24,21.52,137.72,5.15
1RV21CS036,Aditya Sharma,63.35,23.92,49.39,24.85,33.26,132.33,3.8
1RV21CS037,Rohan Gupta,96.98,40.73,24.47,21.08,31.08,131.63,3.15
1RV21CS038,Aditya Mishra,65.06,47.99,49.17,21.2,30.73,156.07,4.33
1RV21CS039,Varun Deshmukh,93.63,32.19,38.62,24.64,47.9,155.9,5.88
1RV21CS040,Nikhil Banerjee,46.36,42.1,29.97,47.92,44.07,164.26,5.05
1RV21CS001,Vivek Kulkarni,46.38,28.25,26.7,42.09,40.3,138.11,1.43
1RV21CS002,Arvind Reddy,46.64,26.56,35.16,20.8,25.97,110.26,3.72
1RV21CS003,Deepak Pillai,77.41,44.28,20.19,44.17,40.94,149.34,1.78
1RV21CS004,Tanmay Yadav,50.62,31.4,30.77,30.32,27.94,109.66,3.3
1RV21CS005,Rohan Bose,49.33,28.8,38.86,46.56,30.85,129.72,1.35
1RV21CS006,Chirag Malhotra,87.52,49.56,45.66,45.99,31.4,173.03,5.17
1RV21CS007,Vishal Das,64.54,40.11,41.05,40.51,22.14,144.86,3.67
1RV21CS008,Harsha Hegde,70.42,28.1,47.76,40.64,26.59,134.88,4.84
1RV21CS009,Vihaan Malhotra,90.2,44.15,32.03,21.99,47.39,156.03,4.59
1RV21CS010,Ankit Tiwari,72.46,46.54,39.29,24.29,24.19,145.45,3.69
1RV21CS011,Shreyas Patil,68.56,37.51,30.86,49.92,24.15,139.96,4.78
1RV21CS012,Rohan Shetty,79.51,43.76,32.66,21.91,31.45,148.11,3.65
1RV21CS013,Ramesh Sharma,82.42,23.44,46.54,42.53,43.06,147.17,2.47
1RV21CS014,Vishal Menon,45.18,41.66,41.59,49.16,42.86,165.44,1.53
1RV21CS015,Vivek Mishra,91.29,35.23,25.97,31.22,24.85,134.6,5.61
1RV21CS016,Aarav Kamble,62.83,20.58,47.87,46.36,44.95,144.62,1.29
1RV21CS017,Siddharth Nair,49.71,34.58,22.08,42.82,42.98,130.33,3.38
1RV21CS018,Ramesh Hegde,59.58,46.17,32.69,26.35,36.18,149.08,2.01
1RV21CS019,Shivam Ghosh,99.73,39.5,33.14,35.53,23.63,134.49,2.69
1RV21CS020,Suresh Deshmukh,57.66,26.61,22.13,38.93,26.87,120.71,5.3
1RV21CS021,Arjun Bhattacharya,58.09,40.07,26.43,23.97,48.07,142.31,3.36
1RV21CS022,Lokesh Banerjee,55.47,22.91,32.93,32.71,34.01,123.02,4.37
1RV21CS023,Yogesh Iyer,48.33,41.85,44.02,23.28,25.75,135.3,1.7
1RV21CS024,Nikhil Pandey,70.44,46.23,22.26,44.24,45.68,151.41,4.26
1RV21CS025,Prakash Sharma,98.29,47.79,45.46,24.99,34.57,156.25,3.01
1RV21CS026,Vihaan Hegde,65.84,49.56,27.96,43.52,33.65,154.22,5.79
1RV21CS027,Ramesh Bhat,84.51,24.64,28.9,49.06,37.38,138.42,4.74
1RV21CS028,Vihaan Patel,77.13,35.09,45.58,24.72,48.82,146.84,1.93
1RV21CS029,Tarun Gupta,82.14,27.06,23.6,46.71,27.39,127.02,4.1
1RV21CS030,Ajay Bhat,77.1,35.68,48.04,26.13,41.49,147.07,2.98
1RV21CS031,Chirag Tiwari,61.5,29.49,42.56,22.18,33.75,137.61,5.98
1RV21CS032,Arjun Chavan,56.72,27.96,48.0,46.43,46.38,154.93,1.79
1RV21CS033,Prakash Sinha,61.64,49.52,44.21,35.87,40.04,169.36,5.66
1RV21CS034,Krishna Joshi,59.55,46.69,42.27,24.66,28.45,138.83,2.71
1RV21CS035,Dev Tripathi,91.91,35.16,27.53,47.24,21.52,137.72,5.15
1RV21CS036,Aditya Sharma,63.35,23.92,49.39,24.85,33.26,132.33,3.8
1RV21CS037,Rohan Gupta,96.98,40.73,24.47,21.08,31.08,131.63,3.15
1RV21CS038,Aditya Mishra,65.06,47.99,49.17,21.2,30.73,156.07,4.33
1RV21CS039,Varun Deshmukh,93.63,32.19,38.62,24.64,47.9,155.9,5.88
1RV21CS040,Nikhil Banerjee,46.36,42.1,29.97,47.92,44.07,164.26,5.05
1RV21CS001,Vivek Kulkarni,46.38,28.25,26.7,42.09,40.3,138.11,1.43
1RV21CS002,Arvind Reddy,46.64,26.56,35.16,20.8,25.97,110.26,3.72
1RV21CS003,Deepak Pillai,77.41,44.28,20.19,44.17,40.94,149.34,1.78
1RV21CS004,Tanmay Yadav,50.62,31.4,30.77,30.32,27.94,109.66,3.3
1RV21CS005,Rohan Bose,49.33,28.8,38.86,46.56,30.85,129.72,1.35
1RV21CS006,Chirag Malhotra,87.52,49.56,45.66,45.99,31.4,173.03,5.17
1RV21CS007,Vishal Das,64.54,40.11,41.05,40.51,22.14,144.86,3.67
1RV21CS008,Harsha Hegde,70.42,28.1,47.76,40.64,26.59,134.88,4.84
1RV21CS009,Vihaan Malhotra,90.2,44.15,32.03,21.99,47.39,156.03,4.59
1RV21CS010,Ankit Tiwari,72.46,46.54,39.29,24.29,24.19,145.45,3.69
1RV21CS011,Shreyas Patil,68.56,37.51,30.86,49.92,24.15,139.96,4.78
1RV21CS012,Rohan Shetty,79.51,43.76,32.66,21.91,31.45,148.11,3.65
1RV21CS013,Ramesh Sharma,82.42,23.44,46.54,42.53,43.06,147.17,2.47
1RV21CS014,Vishal Menon,45.18,41.66,41.59,49.16,42.86,165.44,1.53
1RV21CS015,Vivek Mishra,91.29,35.23,25.97,31.22,24.85,134.6,5.61
1RV21CS016,Aarav Kamble,62.83,20.58,47.87,46.36,44.95,144.62,1.29
1RV21CS017,Siddharth Nair,49.71,34.58,22.08,42.82,42.98,130.33,3.38
1RV21CS018,Ramesh Hegde,59.58,46.17,32.69,26.35,36.18,149.08,2.01
1RV21CS019,Shivam Ghosh,99.73,39.5,33.14,35.53,23.63,134.49,2.69
1RV21CS020,Suresh Deshmukh,57.66,26.61,22.13,38.93,26.87,120.71,5.3
1RV21CS021,Arjun Bhattacharya,58.09,40.07,26.43,23.97,48.07,142.31,3.36
1RV21CS022,Lokesh Banerjee,55.47,22.91,32.93,32.71,34.01,123.02,4.37
1RV21CS023,Yogesh Iyer,48.33,41.85,44.02,23.28,25.75,135.3,1.7
1RV21CS024,Nikhil Pandey,70.44,46.23,22.26,44.24,45.68,151.41,4.26
1RV21CS025,Prakash Sharma,98.29,47.79,45.46,24.99,34.57,156.25,3.01
1RV21CS026,Vihaan Hegde,65.84,49.56,27.96,43.52,33.65,154.22,5.79
1RV21CS027,Ramesh Bhat,84.51,24.64,28.9,49.06,37.38,138.42,4.74
1RV21CS028,Vihaan Patel,77.13,35.09,45.58,24.72,48.82,146.84,1.93
1RV21CS029,Tarun Gupta,82.14,27.06,23.6,46.71,27.39,127.02,4.1
1RV21CS030,Ajay Bhat,77.1,35.68,48.04,26.13,41.49,147.07,2.98
1RV21CS031,Chirag Tiwari,61.5,29.49,42.56,22.18,33.75,137.61,5.98
1RV21CS032,Arjun Chavan,56.72,27.96,48.0,46.43,46.38,154.93,1.79
